# Planes
# center_x center_y center_z normal_x normal_y normal_z
74.865356 16.384000 1.054225 0.003520 -0.999987 0.003761
72.748358 16.330449 0.979899 0.041087 0.996789 -0.068722
70.938277 16.168480 0.969515 -0.126245 0.981941 -0.140906
69.474307 16.092718 1.071264 0.061459 -0.997700 0.028591
66.802173 15.955578 0.854616 -0.021293 0.999259 0.032052
64.845975 15.731936 0.790539 -0.151878 0.988357 -0.009112
60.618400 15.430472 0.771504 0.041393 -0.997306 0.060555
56.821454 15.133292 0.576143 0.009158 -0.994308 0.106151
54.962730 16.491311 0.705796 0.998620 0.051298 -0.011273
43.105235 11.166800 0.493836 0.876317 0.472035 0.096181
54.774717 19.208953 1.286295 -0.023344 -0.011897 0.999657
54.678405 20.524903 1.255677 0.195123 0.164081 0.966956
44.203946 16.624752 0.575708 0.997478 0.067329 -0.022457
40.744601 14.228131 0.436829 -0.117672 0.991578 0.054092
38.873827 13.894839 0.479575 -0.049559 0.998024 -0.038629
36.870474 13.769539 0.456531 -0.090688 0.995849 -0.007732
35.377734 13.726351 0.421281 -0.072528 -0.993443 0.088381
32.061374 10.039242 0.535670 -0.123703 0.976115 0.178597
32.691571 13.507745 0.377147 -0.231972 0.964202 -0.128466
28.951982 13.280114 0.379929 -0.241154 0.947151 -0.211542
24.987169 12.984106 0.367970 -0.192965 0.976851 -0.092337
23.763119 13.035919 0.384550 0.886219 0.463203 -0.007615
18.265766 42.783211 0.852117 0.758971 -0.641315 0.112592
15.667023 43.645618 1.030276 0.751943 0.659222 0.002689
15.074931 44.182632 1.389547 -0.603376 -0.793726 -0.077052
19.679256 19.407744 0.877517 -0.126220 -0.487448 0.863981
18.210576 16.852832 0.796766 0.719294 0.306024 -0.623671
17.879157 9.406932 0.666161 0.896389 0.228062 0.380098
12.859987 14.457115 0.441517 0.996287 0.083824 0.019637
11.023620 12.135913 0.540634 -0.055713 0.998014 -0.029393
9.457182 12.047775 0.605050 -0.060457 0.997895 -0.023451
8.602281 11.964719 0.522074 -0.025285 0.999313 -0.027092
11.636431 8.972848 0.529774 -0.106570 0.991043 0.080474
3.311819 11.495393 0.640741 0.149422 -0.988154 0.034990
-7.058009 11.355099 1.648279 0.031863 -0.022313 0.999243
4.164529 6.517422 0.899983 0.994410 -0.016364 -0.104312
4.173528 5.536595 0.822424 0.997630 0.068083 -0.010005
-42.807776 -10.931878 2.793520 0.686505 0.170595 0.706830
4.520634 -3.441918 0.923201 0.999601 -0.028226 -0.001393
16.059083 -2.816800 0.588521 0.986684 -0.109134 -0.120597
15.868556 -2.986462 0.400880 0.988894 0.120122 0.087523
3.300988 -9.467849 0.572293 0.128322 -0.991661 -0.011909
10.957773 -8.928590 0.588120 0.026750 0.999465 0.018831
13.626268 -10.379497 0.887843 0.999132 0.040917 0.007807
17.834158 -10.957428 0.504857 0.997578 0.068901 -0.009509
17.940140 -12.640277 0.577295 0.999382 0.033067 -0.011939
23.880273 -2.307057 0.278058 -0.218436 0.975469 -0.027298
24.038685 -2.373822 0.271028 0.988060 0.153416 0.014182
18.242587 -16.969301 0.563789 0.998710 0.050606 0.004102
23.588067 -4.973559 0.332455 0.074223 -0.997139 0.014275
24.989461 -4.919123 0.316474 -0.001281 0.951299 0.308267
25.168037 -10.247828 0.807571 -0.071563 0.923002 0.378082
26.985010 -4.773633 0.319127 -0.109921 0.980507 0.162859
27.047460 -14.510433 1.003600 0.001800 0.038773 0.999246
27.115212 -11.098667 0.870477 0.001955 0.038901 0.999241
28.937530 -4.680499 0.310924 -0.008670 0.920200 0.391353
31.154107 -9.046643 0.813230 -0.009975 0.035105 0.999334
31.083529 -6.858695 0.737272 -0.004182 0.034262 0.999404
30.891005 -4.560059 0.351362 -0.033589 0.997262 0.065879
32.993861 -4.533849 0.352222 -0.064726 0.952135 0.298746
35.296387 -6.696148 0.778938 -0.107280 0.070850 0.991701
36.941034 -4.221488 0.407703 -0.065609 0.997097 -0.038639
41.058266 -3.941569 0.501440 -0.058767 0.998093 -0.018884
40.177169 -4.013938 0.330835 0.021338 -0.999704 0.011726
42.872075 -3.814135 0.471624 -0.058488 0.998247 -0.009024
44.685018 -3.814487 0.499535 -0.039024 0.977475 0.207414
36.957547 -1.434182 0.385929 0.965973 -0.188897 0.176676
48.998589 -3.476665 0.634832 0.148314 -0.980424 -0.129510
50.600520 -3.317144 0.825107 -0.014903 0.996186 -0.085975
52.976666 -3.213051 0.864023 -0.206544 0.978297 -0.016588
65.064213 -2.444083 1.081515 -0.128141 0.991756 0.000286
67.472826 -2.224657 1.008360 0.128420 -0.990455 0.050079
79.246349 -1.463317 1.003007 0.096879 -0.994507 0.039630
76.969942 16.608519 0.950163 -0.101534 0.994784 -0.009769
50.487818 14.723063 0.618485 0.005298 0.999790 0.019807
48.702233 14.771753 0.482117 -0.128062 0.886819 0.444019
47.681885 15.206532 0.521693 0.995308 0.095589 -0.014993
17.393013 11.852692 0.719466 -0.073305 0.244929 0.966766
-17.635579 6.369740 1.745135 0.328175 -0.091027 -0.940221
73.627023 12.924647 0.597825 0.907236 -0.417204 -0.053510
94.453376 20.462213 0.842774 0.990380 0.017858 -0.137220
47.619001 16.121107 0.442922 0.999230 -0.017598 -0.035073
31.496567 10.173405 0.222867 -0.507149 -0.237193 0.828577
20.628576 20.180719 0.390156 0.987448 0.077964 -0.137360
-30.381534 17.556086 0.847937 0.868053 -0.496380 0.009487
-37.781503 -18.633577 1.450699 0.794620 0.467471 0.387363
15.470631 11.619952 0.310550 -0.872666 0.453714 0.180546
-0.388504 12.298528 0.433988 -0.132482 0.327293 -0.935590
-6.306385 -8.639580 0.365250 0.915904 0.390862 0.091358
69.240865 1.005847 0.195476 0.179975 0.012719 0.983589
75.628070 10.525857 -0.815949 0.983441 0.160417 0.084316
68.452958 10.740396 -0.654728 0.974667 0.120475 -0.188441
64.895536 15.650633 -0.864055 -0.069226 0.990908 -0.115364
63.033198 15.541104 -0.897357 -0.046537 0.998397 -0.032224
58.965936 15.265863 -0.851235 -0.046157 0.997753 -0.048569
54.970751 16.454163 -0.344152 0.991837 0.059759 0.112644
49.072867 14.964727 -0.126735 -0.243791 0.946960 0.209362
47.678025 15.292904 -0.275836 0.992425 0.100440 0.070734
47.616402 16.131805 -0.390344 0.997553 0.051619 0.047146
44.196812 17.123365 -0.502133 0.997358 0.071635 0.012031
18.383454 42.991294 -0.608478 0.825280 -0.553972 -0.109673
15.791447 43.478622 -0.813530 0.765463 0.640398 0.062902
0.334149 12.182159 0.203437 0.305653 -0.316751 0.897912
41.133540 14.264693 -0.458197 -0.121643 0.986895 -0.106028
38.874113 13.885524 -0.357982 -0.027409 0.999617 0.003729
-30.900097 16.663970 -0.718250 0.932681 -0.352519 -0.076402
-27.383488 14.693557 -0.688678 0.791104 -0.611670 0.003826
-30.610963 12.255263 -0.386350 -0.519381 0.411305 -0.749047
47.376595 -3.498295 -0.730876 0.149877 0.987548 0.047814
48.342140 -3.490694 -0.433532 0.036673 -0.998275 0.045842
52.769946 -0.265307 -0.534674 -0.085164 0.975920 0.200818
58.489276 -0.152319 -0.582746 0.420169 0.202937 -0.884463
36.266838 11.692490 -0.392543 -0.711552 0.702538 0.011602
35.471052 13.625354 -0.689376 -0.016625 0.988254 -0.151916
32.806094 13.480161 -0.302776 -0.069721 0.997530 -0.008573
30.868515 13.334015 -0.477347 0.075260 -0.995284 0.061207
20.834258 20.209261 -1.114417 0.993520 0.107517 0.036863
0.406110 12.214220 -0.324501 0.222100 0.955084 0.196180
-0.558826 12.160439 -0.366863 -0.144295 0.896554 0.418773
-0.987131 11.547228 -0.840362 -0.102460 -0.861319 0.497626
-11.746118 5.534364 -1.496380 0.645351 -0.760929 0.067154
-23.810548 3.389383 -0.456360 -0.424830 -0.123220 0.896848
-6.309218 -8.686399 -0.407862 0.797570 0.601154 -0.049952
40.605736 -4.029031 -0.618798 -0.022890 -0.999738 -0.000991
73.349692 10.383923 -1.355929 0.485682 0.069711 -0.871352
28.969617 13.223407 -0.364531 -0.061882 0.997298 0.039595
26.854939 13.053200 -0.579374 0.082174 -0.995980 0.035654
12.850663 14.521462 -0.992268 0.996822 0.077050 0.020233
11.049922 12.101600 -0.898040 -0.063407 0.997987 -0.000983
