# Planes
# center_x center_y center_z normal_x normal_y normal_z
94.476592 18.959567 2.408224 0.996147 0.067108 -0.056453
67.052210 15.912878 0.928781 0.014999 -0.998667 -0.049383
65.129775 15.753988 0.889728 -0.134699 0.989903 0.044134
60.724301 15.430337 0.910733 0.118979 -0.992858 0.008832
56.822488 15.142756 0.695679 -0.052384 0.996100 -0.071001
54.962923 16.951612 0.740740 0.999309 0.031910 -0.019081
54.799094 18.847440 1.318221 0.689050 0.072572 0.721071
54.610765 21.011803 1.384059 -0.122411 0.063407 -0.990452
54.570506 22.689500 1.434536 0.995339 0.073834 0.062045
43.169842 11.117576 0.501682 -0.651863 -0.757513 -0.035322
44.211355 16.809192 0.715795 0.998188 0.059716 -0.007427
44.074713 18.702830 0.694555 0.999075 0.042470 -0.006692
40.762954 14.198874 0.471978 -0.033608 0.990377 0.134250
41.808753 18.058747 0.698491 -0.179202 -0.983812 0.000309
38.873710 13.896695 0.518453 -0.053819 0.998551 -0.000080
36.938525 13.776048 0.517890 -0.085505 0.995444 0.042188
36.261700 11.587598 0.623567 -0.177768 0.953462 0.243534
35.095908 13.749370 0.456440 0.072926 0.992646 -0.096618
32.435071 10.630575 0.446934 -0.855080 0.505243 0.116482
31.275853 13.450969 0.535924 -0.123252 -0.992120 0.022501
32.093933 9.923745 0.453070 -0.535385 0.840843 -0.079658
31.858764 10.088990 0.427627 -0.422382 -0.905759 0.034564
28.857174 13.266810 0.462847 -0.212919 0.968674 -0.127816
27.064946 13.174460 0.528445 0.112861 0.993307 -0.024560
23.848772 12.887164 0.581555 0.228290 0.973328 0.022707
12.608901 17.142824 1.140287 0.998222 0.059501 -0.003623
12.788496 14.667578 1.290273 0.992883 0.069970 0.096371
12.924085 13.062329 0.709314 0.997601 0.060845 0.033020
10.845588 12.128643 0.693062 0.063150 -0.997968 -0.008484
17.842653 9.121148 0.928651 -0.237959 0.967494 0.085618
9.428853 12.055103 0.800728 -0.052662 0.998611 0.001826
8.628653 11.973717 0.873354 -0.024424 0.999702 -0.000330
3.299242 11.538147 0.744935 0.163535 -0.986428 0.014720
-18.352062 11.252550 2.169783 -0.659275 0.315069 -0.682706
4.091468 6.497763 1.038947 0.999482 0.014817 0.028577
4.110467 5.547539 1.029991 0.998173 0.055171 0.024629
4.575278 -3.451894 1.114755 0.998904 -0.045376 -0.011445
16.137728 -2.894740 0.614283 0.957963 -0.263555 -0.113343
0.974353 -9.669055 0.926823 0.007685 -0.999916 0.010454
3.010327 -9.518678 0.853232 -0.126275 0.991882 0.014964
4.362234 -9.400153 0.934110 0.027564 -0.999065 0.033313
24.142739 -2.442662 0.435177 0.892841 0.432212 -0.126600
23.892161 -2.464172 0.497317 0.940845 -0.316206 0.121752
8.748745 -9.024990 0.852516 -0.264436 0.964307 -0.013585
10.884456 -8.917874 0.692708 0.058442 0.998221 0.011798
16.662239 -8.529687 0.567602 0.066090 -0.997753 0.011020
23.607683 -5.015469 0.459056 0.072938 -0.996753 0.034113
23.767920 -6.451025 0.781415 0.938921 -0.030034 0.342818
27.116407 -4.797280 0.385238 -0.123153 0.991114 0.050259
29.011862 -4.716463 0.359909 -0.016781 0.939458 0.342252
27.220299 -6.699671 0.752391 0.953689 0.077605 0.290612
24.628313 -10.320834 0.851390 0.057587 -0.948001 -0.313015
31.107475 -4.547046 0.332580 0.005169 -0.998330 0.057533
33.043784 -4.500223 0.319076 -0.073770 0.968845 0.236426
35.016168 -4.317220 0.305786 -0.065788 0.996361 -0.054195
36.969965 -4.198368 0.302917 -0.060467 0.996498 -0.057749
37.130028 -1.315916 0.275077 -0.323034 0.915670 -0.239159
39.639140 -3.962592 0.378017 0.005584 0.999973 0.004712
40.302278 -4.020446 0.236890 -0.032757 0.999429 -0.008271
41.046400 -3.934292 0.351510 -0.046559 0.996702 -0.066460
42.736953 -3.830814 0.377243 0.057375 -0.996643 0.058399
45.003805 -3.796977 0.633756 -0.138010 0.913185 0.383466
45.289059 -4.092533 0.747474 -0.026924 0.003342 0.999632
46.816421 -3.590357 0.663838 0.000589 -0.999963 -0.008634
49.078036 -3.489155 0.673789 -0.171479 0.926773 0.334194
50.859580 -3.307062 0.646670 -0.035913 0.997317 0.063785
54.995467 -3.099802 0.478120 -0.011241 -0.999837 0.014115
60.393123 -4.327491 1.042844 0.998146 0.051803 -0.031968
62.799028 -2.594409 0.640933 -0.020432 0.998876 0.042781
69.501590 -1.949198 0.783095 0.098126 -0.995171 -0.002458
71.190372 -1.862048 0.810739 -0.090052 0.994666 -0.050303
73.554951 -1.838018 0.814831 0.111812 -0.992717 -0.044850
74.788816 -1.750771 0.754574 -0.077606 0.996327 -0.036204
76.898450 -1.610147 1.059450 -0.118418 0.992681 -0.023690
79.195716 -1.464238 1.010349 0.064770 -0.997804 -0.013887
80.328552 -1.305952 1.070230 -0.340843 0.935516 -0.092925
72.781213 16.347324 1.031998 0.030289 0.999383 0.017797
70.893024 16.190785 0.932498 -0.156264 0.984687 -0.077290
69.426722 16.068606 0.805215 -0.053293 0.997436 0.047755
34.854209 14.040592 0.774370 -0.047036 0.997873 -0.045134
18.298414 17.164776 1.025851 -0.904619 0.010282 -0.426097
16.979081 11.829051 0.877740 -0.044428 -0.934628 -0.352840
68.718645 -2.036425 0.679314 -0.043864 0.999034 -0.002719
96.747222 17.736317 1.201808 -0.072704 0.997183 -0.018442
94.489994 19.244442 1.479555 0.999327 0.033916 -0.013965
74.128009 13.009835 0.987058 0.966719 0.163468 -0.196804
94.390467 20.744437 0.981095 0.985691 0.168532 -0.003106
78.612131 16.686730 0.717528 0.080534 0.996443 0.024825
49.018731 14.772925 0.521197 -0.086583 0.869606 0.486096
47.735308 14.995249 0.520831 0.991492 0.129886 0.008599
95.080940 1.546508 1.301797 0.997861 0.017629 -0.062949
63.151199 16.386223 0.669928 -0.588326 0.808575 0.008911
50.430483 14.830795 0.390129 0.330204 0.895726 0.297725
47.557891 17.168395 0.415852 0.995786 0.068056 0.061470
41.733199 17.992128 0.388967 -0.024584 0.999698 -0.000122
35.324084 20.420180 0.628409 0.996811 -0.043229 -0.067078
35.105196 22.907911 0.553812 0.398148 -0.915493 -0.057887
34.546075 17.488111 0.542051 -0.092413 0.995713 -0.003911
33.106551 17.411868 0.571697 -0.072505 0.996179 0.048687
4.705106 12.147820 0.526614 -0.607552 0.792232 0.056997
-3.651305 12.872170 0.716713 -0.876449 0.356161 0.324016
-44.231691 -0.523602 1.068760 0.982614 -0.007176 0.185522
39.211913 14.163084 0.451264 -0.058035 0.941915 0.330799
42.259865 -0.141988 0.323674 -0.161305 -0.705349 0.690264
41.589866 0.020376 0.301110 -0.025935 0.997667 0.063146
42.604405 0.068620 0.221641 -0.028039 0.982736 0.182875
94.102123 12.615441 -0.873865 0.998445 0.012748 -0.054264
72.697336 16.381615 -0.382314 0.240733 0.969721 -0.041087
-24.608100 9.343549 -0.934268 0.996145 -0.014864 0.086459
-29.681455 -9.210426 -0.815971 0.792335 0.609277 -0.031418
0.983425 -9.651482 -0.317056 -0.048316 0.998826 -0.003546
2.974537 -9.522388 -0.282674 -0.094233 0.995543 -0.003639
8.528305 -9.139624 -0.328766 -0.271531 0.960066 -0.067413
62.967298 -2.599914 -0.602469 -0.041917 0.998583 -0.032796
68.698640 -2.065639 -0.735537 -0.050286 0.998137 -0.034548
71.310043 -1.880693 -0.638205 0.878773 0.477239 -0.000928
75.606962 10.559679 -0.900808 0.969329 0.126906 -0.210469
68.905996 15.936068 -0.633650 -0.041334 0.998286 -0.041425
66.934624 15.817974 -0.642133 -0.069316 0.987344 -0.142642
65.014639 15.673878 -0.666441 -0.065155 0.987775 -0.141615
62.683029 15.512604 -0.814847 0.039912 -0.998770 0.029418
60.926718 15.352983 -0.830667 0.052411 -0.992040 0.114496
9.432157 12.063602 -0.888867 -0.004942 0.998002 0.062986
7.173843 11.826042 -0.964405 0.103513 -0.994217 0.028594
4.733245 12.177444 -0.842631 0.980655 -0.195324 -0.012839
-22.819500 16.902436 -0.916259 -0.609979 0.749478 -0.257310
13.015193 -8.811530 -0.339925 -0.067516 0.996667 -0.045778
15.005656 -8.663501 -0.293271 -0.068889 0.987963 -0.138505
17.062874 -8.394213 -0.682346 -0.241176 0.968664 0.059369
57.264027 -2.923951 -0.321381 0.494058 -0.774133 0.395759
58.478107 -0.250231 -0.617582 -0.447144 -0.018768 0.894265
54.923587 16.918179 -0.811531 0.994469 0.042038 -0.096252
10.654090 12.070973 -0.922804 -0.073403 0.997296 -0.003503
-12.408048 4.754299 -1.783302 -0.850494 0.524014 -0.045486
-15.802760 1.781640 -1.288708 0.765991 -0.637268 0.084538
58.460917 10.418360 -0.528280 -0.450670 0.001327 -0.892690
50.418359 14.834868 -0.914663 -0.650795 -0.753841 0.090493
47.745505 14.804113 -0.781474 0.998354 0.047103 -0.032725
47.576140 17.071123 -0.362253 0.997464 0.071120 -0.002857
44.081739 18.300483 -0.343188 0.999536 0.008587 0.029224
12.601559 17.345044 -0.654559 0.996648 0.081772 -0.002632
-19.134256 -2.969056 -1.685462 0.131706 -0.221672 0.966186
82.349391 4.734761 -1.451000 0.037587 -0.009824 0.999245
82.928749 6.941860 -1.456295 0.039918 -0.006881 0.999179
85.040209 8.856868 -1.528238 0.034662 -0.000909 0.999399
44.227171 16.531432 -0.293783 0.999876 0.004404 -0.015104
41.812086 18.071755 -0.445169 -0.465152 -0.883272 0.058854
25.046228 12.950174 -0.353664 -0.057456 0.998313 0.008421
23.845849 12.886948 -0.318084 0.169618 0.985412 -0.013863
12.865167 14.218118 -0.684610 0.991946 0.068872 0.106299
6.514616 6.888165 -1.227791 0.985114 0.107464 0.134168
-21.235515 0.768772 -1.703909 -0.037298 -0.012638 0.999224
9.324139 -5.871057 -1.226649 0.179110 0.952654 -0.245701
42.501303 -3.839632 -0.580517 0.030413 -0.993750 -0.107410
82.515055 3.294137 -1.471925 0.041599 -0.010068 0.999084
73.504998 9.677128 -1.451775 -0.291382 -0.432281 0.853364
73.296305 10.396794 -1.402728 -0.452844 -0.078783 0.888102
43.430960 10.765820 -0.531926 0.413301 -0.661652 0.625619
41.076248 14.244612 -0.241103 -0.118999 0.992525 0.027085
48.907148 33.060218 -1.111817 0.051884 -0.998613 0.008959
41.671079 17.784033 -0.518976 -0.856532 0.514319 0.042765
38.544458 16.819365 -0.746590 0.022658 -0.455472 0.889962
29.119102 13.200932 -0.704188 -0.068129 0.995061 -0.072192
27.044435 13.084299 -0.381723 -0.074861 0.997120 0.012175
