# Planes
# center_x center_y center_z normal_x normal_y normal_z
-41.448511 -2.635126 -0.266176 0.818402 0.264905 0.509944
-38.898443 -2.819438 -1.558070 -0.536944 -0.476156 -0.696395
-40.124677 -5.490252 -0.451249 0.987317 0.158454 -0.009908
-44.145721 -7.642313 -1.106751 0.988948 -0.075467 0.127615
-55.008390 -21.690562 -0.833821 0.990691 -0.133326 -0.027471
-49.319182 -21.256059 -1.270702 -0.792827 -0.571014 0.213001
-49.737249 -28.898948 -0.754516 0.862147 0.503605 -0.055532
-38.847837 -38.774219 -0.897779 -0.394228 0.914109 0.094812
-37.245521 -38.618776 -0.801551 0.330566 0.943468 0.024386
29.051635 -4.728367 -0.662509 -0.080681 0.993103 -0.085074
33.121060 -4.475939 -0.740603 -0.135396 0.985417 0.103063
34.857977 -4.373835 -0.610731 -0.053503 0.998025 0.032904
36.695527 -4.290795 -0.626206 -0.113060 0.991940 -0.057210
42.728761 -3.835859 -0.640999 -0.112283 0.993067 0.034804
53.022753 -3.133816 -0.706734 -0.123511 0.992203 0.016659
15.572159 14.184490 -1.396509 0.985790 -0.020440 0.166737
12.631859 12.133443 -0.643955 -0.003664 0.998938 0.045920
11.035864 12.074809 -0.466356 -0.061586 0.997934 -0.018324
9.490598 12.028019 -0.392727 0.027453 0.999598 -0.007023
8.877110 11.927617 -0.489292 -0.055876 0.998209 -0.021351
6.954167 11.808972 -0.746528 0.035148 -0.997819 0.055881
5.880936 14.134394 -0.567661 0.676383 -0.736026 0.027792
-1.883442 16.577763 -0.195804 0.800378 0.599274 -0.016331
-38.460767 -10.434354 -1.472009 0.628748 0.703653 -0.330980
-6.558548 -17.682119 -0.376555 0.777443 0.628876 -0.009869
-6.148301 -18.181974 -0.415101 0.775144 0.631563 0.016705
-5.337562 -19.116105 -0.363725 0.757018 0.651149 -0.054123
-4.288416 -20.333149 -0.345783 0.747713 0.653068 -0.120112
-3.451985 -21.299594 -0.342156 0.753330 0.647369 -0.115790
-2.520735 -22.332786 -0.167092 0.734165 0.618409 -0.280308
-1.595102 -22.490857 -0.272645 0.646325 -0.372372 -0.666035
13.018844 -8.790437 -0.272330 -0.076944 0.994749 -0.067488
14.950784 -8.650651 -0.310670 -0.066350 0.983986 -0.165437
16.799853 -8.521142 -0.339688 -0.101077 0.993779 0.046766
23.024615 20.689555 -1.075384 0.943813 0.083775 -0.319685
10.211585 11.983348 -0.658468 -0.017780 0.999764 -0.012464
6.257081 12.334951 -0.873938 0.960976 -0.244913 0.128622
2.032632 12.038856 -0.406187 0.924738 0.380554 0.006225
-11.672792 5.456105 -1.683285 0.758071 -0.617289 0.210436
-47.392688 -9.301219 -1.159829 0.812973 0.547792 -0.197482
-15.662185 -18.281689 -0.966677 0.504328 -0.836081 -0.215922
-5.396771 -13.499658 -0.767423 -0.572540 -0.457778 -0.680175
3.003612 -9.477928 -0.420080 -0.071128 0.996661 0.040085
4.945816 -9.347095 -0.356165 -0.064555 0.997847 -0.011559
55.234501 9.036746 -1.422813 0.363639 0.147455 -0.919795
32.685236 6.642059 -1.479348 0.022246 -0.512125 0.858623
8.444001 17.497137 -0.602769 0.454246 0.276643 -0.846835
-25.856732 28.087104 -1.323772 0.818538 -0.570198 0.069783
-26.708815 27.066110 -1.231222 -0.764750 0.641751 -0.057567
-22.459979 18.655836 -1.200937 0.689075 0.701810 0.180660
-22.709475 16.984218 -0.971726 -0.604915 0.763954 -0.224618
-20.821284 8.527319 -1.863116 0.758825 0.160296 0.631260
-17.882825 -20.564145 -0.995415 -0.462914 0.882959 -0.078059
0.963512 -9.610520 -0.451240 -0.063624 0.996336 0.057150
42.744063 7.248699 -1.564807 -0.130750 -0.138318 0.981719
-51.451893 -19.345669 -1.579284 -0.030522 -0.011195 0.999471
-48.492753 -22.760283 -1.531182 -0.026856 -0.011843 0.999569
-47.366462 -27.073171 -1.560417 -0.026827 -0.014577 0.999534
17.231359 -7.060655 -0.430878 -0.348830 -0.102296 0.931586
16.768609 -5.638254 -0.474360 -0.018981 0.641481 0.766904
45.308950 1.234611 -1.543761 0.038345 0.001371 0.999264
47.721423 6.944686 -1.657439 0.037762 0.006020 0.999269
-54.775834 -11.178812 -1.983268 -0.026341 0.001236 0.999652
-44.671938 -19.520724 -1.697669 -0.040551 -0.021045 0.998956
-43.245626 -20.729355 -1.665893 -0.034019 -0.014608 0.999314
-39.027775 -23.164755 -1.562981 -0.035391 -0.021543 0.999141
-37.008546 -24.297464 -1.518281 -0.031816 -0.015865 0.999368
-35.038383 -24.958874 -1.468386 -0.034251 -0.027432 0.999037
-32.630484 -26.889121 -1.437942 -0.031168 -0.024574 0.999212
-1.188614 -18.752441 -1.073982 0.999612 -0.024392 -0.013423
15.073074 -5.733633 -0.466243 -0.023661 0.365085 0.930674
39.152733 -3.239521 -1.309316 0.044693 -0.012159 0.998927
35.324901 -2.713688 -1.337725 0.057601 -0.082643 0.994913
35.175219 -1.211964 -1.418193 -0.149646 0.153276 0.976787
39.402098 1.281303 -1.550407 0.044022 0.001534 0.999029
41.052239 5.244513 -1.639290 0.041084 0.008669 0.999118
41.671351 7.080774 -1.679203 0.045223 0.007472 0.998949
-7.643827 20.092227 -1.219789 -0.267172 0.956490 0.117243
-24.611131 23.256578 -1.609009 -0.503480 0.534241 -0.679039
-46.530482 -0.999104 -1.901191 -0.045649 -0.001072 0.998957
-45.240511 -4.764420 -1.851789 -0.044885 -0.004594 0.998982
-35.679578 -13.374467 -1.513197 -0.041877 -0.014770 0.999014
-35.395530 -14.670327 -1.521697 -0.042238 -0.016398 0.998973
-35.714806 -17.188905 -1.579291 -0.044294 -0.020079 0.998817
-35.066329 -21.255837 -1.637810 -0.038647 -0.022288 0.999004
-32.932943 -21.651825 -1.565425 -0.038969 -0.029695 0.998799
-30.584759 -22.791468 -1.506890 -0.037293 -0.026788 0.998945
-29.741373 -24.966730 -1.535862 -0.035782 -0.028418 0.998955
-28.885311 -26.692161 -1.556588 -0.032655 -0.029164 0.999041
-27.047271 -23.142091 -1.585271 -0.090656 -0.027717 0.995497
-3.201809 -12.804624 -0.773488 -0.165148 -0.827647 -0.536402
-3.515220 -15.808368 -0.817490 0.874220 0.468756 0.126522
-1.611447 -15.960609 -0.855276 -0.011346 -0.998888 0.045752
12.696837 -6.118935 -0.561654 0.231630 -0.930286 -0.284457
34.889219 0.985344 -1.549528 0.054657 0.003138 0.998500
36.421344 5.364353 -1.647262 0.052522 0.005871 0.998603
36.983465 6.774188 -1.687114 0.048234 0.009062 0.998795
-41.198297 17.154694 -2.359863 -0.029861 0.477053 0.878367
-45.598246 3.030378 -2.054643 -0.049070 0.003463 0.998789
-42.857261 0.984972 -1.914193 -0.049180 0.001445 0.998789
-36.837553 -4.693421 -1.690737 -0.050756 -0.006391 0.998691
-35.765849 -7.346249 -1.657184 0.049430 0.010137 -0.998726
-30.885624 -11.209831 -1.589750 0.111487 -0.053524 0.992323
-32.759829 -13.095868 -1.590246 -0.046889 -0.018440 0.998730
-32.615299 -14.790187 -1.615894 -0.046460 -0.020113 0.998718
-33.388545 -17.128331 -1.701134 -0.043396 -0.022077 0.998814
-32.759445 -18.596055 -1.706882 -0.044094 -0.023979 0.998740
-31.003556 -19.065963 -1.641752 -0.043211 -0.025305 0.998745
-28.899303 -19.521359 -1.563460 -0.042955 -0.029935 0.998628
-27.545294 -21.044818 -1.551293 -0.042782 -0.030842 0.998608
-23.000748 -23.562527 -1.459323 -0.035342 -0.038849 0.998620
24.536938 -1.042219 -1.451873 -0.093446 -0.296464 -0.950462
31.423059 0.988870 -1.575362 0.060343 0.003711 0.998171
32.544896 5.048667 -1.661908 0.051532 0.011490 0.998605
23.909640 9.676055 -1.427668 0.988589 0.149549 0.018064
-26.531061 32.359010 -2.266003 -0.177039 0.058245 0.982479
-39.651751 17.287418 -2.273140 -0.362827 0.077793 0.928604
-34.930998 0.877440 -1.815756 -0.014190 0.102335 0.994649
-30.461924 -3.249471 -1.558564 -0.056837 -0.005250 0.998370
-28.892472 -5.314460 -1.485369 -0.056193 -0.009114 0.998378
-30.224466 -12.752785 -1.674941 -0.052978 -0.021203 0.998371
-29.064826 -13.122921 -1.764619 0.090548 -0.001536 0.995891
-30.744850 -15.111375 -1.756023 -0.048895 -0.023035 0.998538
-28.984856 -16.727156 -1.708877 -0.049616 -0.029694 0.998327
-26.962772 -17.106575 -1.620479 -0.049005 -0.031271 0.998309
-25.036218 -18.951861 -1.587933 -0.052304 -0.035117 0.998014
-24.711492 -20.641175 -1.631525 -0.044441 -0.035949 0.998365
-23.020708 -21.070846 -1.574105 -0.041876 -0.034702 0.998520
-20.970284 -21.404367 -1.502186 -0.040466 -0.040510 0.998359
22.914169 -1.366864 -1.486761 -0.141491 0.083686 0.986396
31.341330 -1.124157 -1.569805 0.056714 -0.001348 0.998390
28.503374 0.964638 -1.562444 0.064764 0.002974 0.997896
28.913937 3.247884 -1.599265 0.072511 0.002950 0.997363
29.569244 4.787913 -1.652951 0.066652 0.007097 0.997751
24.770386 11.049384 -1.723268 -0.013725 0.090291 0.995821
-24.813460 28.866419 -2.461004 0.203456 -0.078762 0.975911
-36.889168 6.753004 -2.081991 -0.060695 0.011025 0.998095
-35.065941 2.639393 -1.937763 -0.061276 0.004576 0.998110
-33.136606 0.772066 -1.813598 -0.060429 0.003065 0.998168
-30.398216 1.355093 -1.818172 0.060200 0.090104 0.994111
-29.695539 -0.946919 -1.667725 -0.062031 -0.001438 0.998073
-27.733660 -3.508121 -1.556118 -0.062415 -0.007509 0.998022
-27.053318 -10.973465 -1.747105 0.100023 -0.001266 0.994984
-28.244583 -14.546665 -1.784662 -0.053806 -0.026486 0.998200
-26.810248 -14.970193 -1.717502 0.054848 0.030815 -0.998019
-24.963032 -15.378987 -1.630327 -0.054332 -0.034682 0.997920
-23.287163 -16.933133 -1.595348 -0.054917 -0.036980 0.997806
-22.752896 -18.944994 -1.643787 -0.047993 -0.038499 0.998105
-20.991959 -19.551743 -1.584943 -0.045625 -0.035101 0.998342
-18.997646 -19.787848 -1.505399 -0.042902 -0.034041 0.998499
-5.758368 -10.244712 -1.075731 0.842064 -0.539267 0.010906
13.385705 -2.334491 -1.480338 -0.079766 0.579764 0.810871
28.790859 -0.734834 -1.578549 0.061224 -0.001185 0.998123
26.266625 3.291866 -1.621453 0.054855 0.013515 0.998403
26.845371 4.970333 -1.679667 0.055941 0.017161 0.998287
18.339687 6.763569 -1.333524 -0.040715 -0.067520 0.996887
18.960304 11.173808 -1.615872 0.181665 0.116965 0.976379
-12.219098 21.686578 -1.691203 0.793504 0.545780 -0.269213
-22.752107 30.936549 -2.667259 0.229030 -0.098158 0.968458
-25.025529 27.209441 -2.623030 0.172354 -0.083570 0.981484
-23.164909 24.732963 -2.585204 -0.591983 0.044870 -0.804700
-33.287612 14.823666 -2.272636 -0.061629 0.028057 0.997705
-30.550774 12.811940 -2.195569 0.064963 -0.061907 0.995966
-32.470459 5.321171 -2.026539 -0.065718 0.011044 0.997777
-31.079426 2.544877 -1.908132 -0.068261 0.005080 0.997655
-26.371841 -0.725854 -1.646690 -0.069360 -0.001600 0.997590
-24.828722 -0.833070 -1.625575 -0.025655 0.063495 0.997652
-22.921355 -0.814803 -1.627560 0.026512 0.071591 0.997082
-25.295086 -9.032693 -1.749875 0.065107 -0.092661 0.993567
-25.278813 -12.807367 -1.771281 -0.061519 -0.029237 0.997678
-22.846007 -13.049617 -1.678595 -0.024622 0.046960 0.998593
-21.157171 -14.837349 -1.616230 0.014648 -0.003759 0.999886
-20.786537 -16.947813 -1.659655 -0.053177 -0.042264 0.997690
-18.994802 -17.091491 -1.631867 -0.035107 0.050645 0.998099
