# Planes
# center_x center_y center_z normal_x normal_y normal_z
54.964971 16.749597 1.541595 0.996923 0.078333 0.002740
40.777303 14.133632 1.040921 -0.016422 0.983781 0.178622
38.999479 13.912677 0.833013 0.042370 -0.996243 0.075531
32.743526 11.328480 0.560239 0.903989 -0.423474 -0.058944
36.898497 13.784065 0.749292 -0.073488 0.996852 -0.029742
35.078618 13.779295 0.738823 0.067094 0.997462 0.023849
32.842742 13.549251 0.671022 -0.200642 0.979206 -0.029977
28.731457 13.198125 0.503265 -0.094854 0.994713 -0.039365
24.809119 12.935240 0.504943 -0.099474 0.994240 -0.039897
23.687751 13.180296 0.480098 0.976445 0.212572 -0.036983
17.763501 9.438756 0.373284 0.834844 0.512213 0.201676
23.377221 16.663979 0.623588 0.995524 0.063874 -0.069661
17.022402 11.810494 0.650336 0.026756 0.331124 0.943208
11.501966 8.929665 0.289045 -0.150206 0.988398 -0.022538
12.417884 12.150766 0.348935 0.085835 0.994047 -0.067105
11.017535 12.126543 0.346678 -0.050459 0.996726 -0.063168
9.364910 12.047571 0.362192 -0.043477 0.998768 -0.023926
8.708903 11.941222 0.322324 -0.030760 0.996507 -0.077632
7.197991 11.816307 0.335016 -0.087103 0.995482 -0.037795
6.213807 12.314184 0.355362 -0.608437 -0.792980 -0.031419
5.831767 14.091037 0.325011 0.585274 -0.807713 0.071096
4.362506 11.653839 0.340861 -0.118792 0.987774 -0.100949
0.233971 14.277150 0.410367 0.767430 0.641074 -0.008657
-0.538564 15.142092 0.481449 0.756014 0.654315 -0.017733
-1.605031 16.373555 0.665047 0.762434 0.645668 0.042520
-2.464643 17.345618 0.778769 0.752589 0.650942 0.099420
4.105429 5.564491 0.240760 0.811757 0.583994 -0.001561
-7.562573 14.656420 0.840530 -0.337628 0.574729 -0.745448
-13.813221 22.458847 1.019816 -0.647971 0.749680 -0.134583
-14.805919 23.407107 0.454545 0.604637 0.756366 0.249647
-8.627632 16.272396 0.785215 -0.181801 0.937422 0.296964
-11.835893 5.561089 0.541514 -0.554090 0.832456 -0.001280
-12.249716 5.305561 0.808781 -0.569385 0.803712 0.172764
-19.383718 4.843750 1.080716 -0.169751 0.300610 0.938519
-15.776787 1.817888 0.519726 -0.365884 0.930397 -0.022149
-44.546670 0.958702 2.020719 0.033510 0.003404 0.999433
-51.170184 -23.269738 2.108746 -0.076913 -0.081190 0.993727
-37.725871 -18.732430 1.300260 0.962114 0.271149 0.028560
4.535466 -3.362475 0.232432 0.745753 -0.665952 0.018976
-7.106641 -17.050164 0.564229 0.775101 0.631804 0.006416
-0.224251 -9.658213 0.395705 -0.085731 0.996317 -0.001550
1.195128 -10.035173 0.486702 -0.035317 0.999319 -0.010651
0.229754 -13.387428 0.529876 0.919752 0.095727 0.380647
5.008105 -9.315468 0.328632 -0.062310 0.995767 0.067570
4.125580 -11.685041 0.702867 0.992970 0.063085 0.100153
4.455534 -12.213265 0.736091 -0.018567 0.111530 0.993588
10.986838 -8.893534 0.339390 -0.042062 0.999105 0.004450
12.959044 -8.760300 0.351461 -0.093438 0.995234 0.027918
13.010101 -4.051873 0.264704 -0.185124 0.981272 -0.053243
23.291110 -7.267401 0.466761 0.998072 0.061803 -0.005797
15.511588 -2.936539 0.313732 0.936189 -0.349866 0.033819
24.982405 -4.953519 0.387991 -0.027003 -0.987441 -0.155665
28.892128 -4.718174 0.450661 0.036609 0.981774 0.186493
30.715450 -4.617464 0.664842 -0.101022 0.992885 0.063041
33.099892 -4.561317 0.497338 -0.021775 0.980535 0.195131
23.698108 -2.489098 0.461592 -0.626545 0.768126 0.131998
37.254298 -4.221352 0.693857 0.066504 -0.997693 0.013649
39.068937 -4.103269 0.718215 -0.022109 0.998137 -0.056871
41.134193 -3.958923 0.581066 -0.058720 0.997801 -0.030739
42.601289 -3.833311 0.765352 -0.142893 0.989633 0.014442
45.313007 -3.744126 0.832422 0.117188 -0.992408 -0.037340
46.834022 -3.573531 0.890609 -0.045448 0.998804 -0.018022
49.139050 -3.496155 1.021076 0.147450 -0.988911 -0.017726
50.629317 -3.304854 0.822710 -0.080692 0.995483 -0.050023
53.129707 -3.180971 1.083347 0.179343 -0.983239 -0.032805
62.891734 15.655049 0.894267 0.014407 -0.999395 -0.031662
59.188803 15.398573 0.931929 -0.012102 -0.999911 0.005588
-13.120887 20.403726 0.740995 -0.016800 0.397603 0.917404
-43.891590 1.205836 1.172104 0.997641 0.042103 -0.054217
-41.196599 -1.824843 1.056275 -0.204872 -0.978154 0.035244
-5.792367 -9.091407 0.443939 0.822346 0.516294 -0.239140
40.289061 -4.033755 0.464315 -0.067837 0.997383 -0.024988
31.580786 10.208905 0.321003 0.728831 -0.289459 -0.620499
50.341409 14.860658 0.373798 0.350175 0.847491 0.398919
47.706863 14.873282 0.475110 0.996035 0.088786 -0.005513
15.428624 11.645141 0.308781 0.362596 -0.367935 0.856241
10.311355 11.982320 0.255425 0.029370 0.999492 0.012392
-51.793285 -26.540518 1.058430 0.892645 -0.258506 -0.369269
-52.558669 -28.806371 1.191869 -0.907785 0.347133 0.235427
-25.812141 15.628553 0.329696 0.874431 0.069785 0.480104
-0.510009 11.902738 0.110771 0.096748 0.955308 -0.279331
-32.899390 26.873087 0.181999 -0.151498 -0.063013 0.986447
-29.613678 -9.224236 0.324906 -0.526846 -0.421127 0.738299
40.136578 -0.727518 0.324248 0.962756 -0.175908 -0.205325
55.324450 10.680527 -1.115152 -0.217447 -0.587797 0.779238
55.011736 15.590368 -0.451935 0.998704 0.043017 -0.027218
50.374385 14.900460 -0.446916 0.576176 0.817033 -0.021889
47.681710 14.915418 -0.376811 0.996212 0.073673 0.046193
38.678947 13.896702 -0.299359 -0.007681 -0.997725 -0.066980
36.825798 13.775681 -0.260059 -0.153002 0.988213 0.004980
34.976787 13.624265 -0.351086 -0.081976 0.995273 0.052079
32.949302 13.469170 -0.453216 0.077340 -0.996712 0.024165
-27.537896 29.752417 -0.566898 -0.227442 0.965802 0.124483
-27.341171 14.752219 -0.376928 0.822122 -0.567924 0.039722
-30.951270 11.458640 -0.305287 -0.670363 0.609308 -0.423507
-24.140753 4.723515 -0.336921 0.856461 0.033993 0.515091
-72.435655 2.422551 -0.938088 0.782201 0.619899 -0.062345
-46.440789 -0.978292 -1.652668 0.807551 0.588004 0.045955
-41.550264 -2.522694 -0.260605 0.945355 0.325764 -0.013492
-30.088441 -8.780787 -0.920697 -0.788343 -0.608539 0.090528
-39.812195 -13.682861 -0.666980 0.960821 0.272313 0.051660
45.136699 -3.710578 -0.616707 -0.088562 0.995833 0.021750
48.914717 -3.449197 -0.577763 -0.064403 0.997924 0.000485
50.908519 -3.307580 -0.531646 0.056706 -0.998389 0.001801
53.001855 -3.149750 -0.598008 0.099529 -0.994787 0.022190
57.609059 10.742787 -0.932610 0.985906 0.038797 -0.162742
38.286464 8.543199 -0.681626 0.975428 0.162304 -0.148992
31.372182 10.228474 -0.219558 0.823325 -0.287434 0.489406
30.910809 13.315228 -0.700940 0.066902 -0.994649 0.078728
28.886539 13.161927 -0.819646 0.061242 -0.995387 0.073848
15.582854 15.082834 -1.182413 0.997135 -0.074191 -0.014779
0.224264 14.251094 -0.436178 0.737190 0.672728 -0.063150
-4.419410 13.471606 -0.840777 0.514863 0.829769 -0.215406
-49.328364 -21.114602 -1.502698 0.804892 0.592988 -0.022662
-11.020997 -13.236189 -0.741013 -0.597208 0.800682 0.047447
-12.556108 -15.099714 -0.317493 0.361879 0.245542 0.899307
-9.589628 -14.078904 -0.319337 0.090191 0.975907 0.198672
32.896948 -4.518628 -0.685755 -0.049012 0.998217 0.034072
37.190326 -4.231824 -0.705404 -0.105054 0.993958 0.031811
39.075399 -4.134455 -0.637622 -0.039137 0.999233 -0.001300
40.573640 -4.025669 -0.763530 -0.028690 0.999494 -0.013710
41.412824 -3.938102 -0.696090 -0.073567 0.997111 0.018890
40.096737 -0.709494 -0.657401 0.977560 -0.049770 0.204696
39.947750 -0.618795 -0.907832 0.993888 0.037995 -0.103653
11.007253 12.100991 -0.845950 0.064287 -0.997746 -0.019256
6.198913 12.332723 -0.920554 -0.731546 -0.680196 -0.046625
4.422732 11.655727 -0.491720 -0.121010 0.990000 -0.072507
2.256142 12.062450 -0.736132 -0.034819 0.999363 -0.007814
-25.836790 28.133428 -1.283585 0.741943 -0.665117 0.084492
-26.767224 26.968115 -1.204998 -0.779145 0.626719 0.012480
-22.673342 16.951653 -0.965151 -0.610043 0.766404 -0.201177
-8.585162 -11.795573 -0.751574 0.590413 -0.807099 0.001808
-7.072104 -17.147449 -0.387980 0.775926 0.630380 -0.023650
33.593776 8.434701 -0.545830 0.248036 0.204194 -0.946986
26.696401 8.603739 -0.308728 0.024652 0.014649 0.999589
5.848790 14.071907 -0.892546 0.536271 -0.843626 0.026624
-0.229786 -9.696784 -0.405234 -0.091289 0.995705 -0.015417
1.019456 -9.608216 -0.389805 -0.073379 0.997257 -0.009745
14.959689 -8.646936 -0.336854 -0.064446 0.996630 -0.050744
16.781656 -8.516569 -0.317181 -0.106933 0.990760 0.083432
55.215102 9.069015 -1.465112 -0.412637 -0.170077 0.894877
-18.133719 10.404177 -1.295602 0.974511 -0.202245 0.097085
-50.979997 -18.981124 -1.683463 -0.037978 -0.010095 0.999228
-47.551946 -25.026798 -1.622110 -0.032680 -0.010139 0.999414
-46.597501 -26.927903 -1.611595 -0.028478 -0.009581 0.999548
3.043644 -9.458677 -0.373331 -0.072012 0.997388 -0.005619
5.039797 -9.311009 -0.358664 -0.072829 0.997277 0.011561
11.085455 -8.901080 -0.279582 -0.067316 0.997730 0.001851
12.959704 -8.774774 -0.315935 -0.063781 0.997902 -0.011074
53.595960 2.774868 -1.507063 0.034036 0.004192 0.999412
